,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,300723.SZ,20230131,41.91,34.55,43.33,34.15,34.58,7.329999999999998,21.1972,43045864.0,1681219346.3
1,300723.SZ,20221230,34.58,35.86,36.44,31.61,35.74,-1.1600000000000037,-3.2457,35137728.0,1201509099.93
2,300723.SZ,20221130,35.74,27.67,38.5,27.67,27.65,8.090000000000003,29.2586,85315743.0,2906930403.27
3,300723.SZ,20221031,27.65,23.88,28.36,21.93,23.61,4.039999999999999,17.1114,38631270.0,1016224440.28
4,300723.SZ,20220930,23.61,24.64,25.41,22.65,24.77,-1.1600000000000001,-4.6831,17912965.0,430490136.9
5,300723.SZ,20220831,24.77,27.8,27.8,24.64,28.04,-3.2699999999999996,-11.6619,26055272.0,684998747.85
6,300723.SZ,20220729,28.04,26.99,29.8,26.86,26.9,1.1400000000000006,4.2379,37373200.0,1067591887.71
7,300723.SZ,20220630,26.9,28.28,28.8,26.62,28.29,-1.3900000000000006,-4.9134,28115882.0,772890856.21
8,300723.SZ,20220531,28.29,26.76,31.77,26.49,27.84,0.4499999999999993,1.6164,42247995.0,1209289185.23
9,300723.SZ,20220429,27.6573,27.9057,28.611,23.6538,28.015,-0.35770000000000124,-1.2768,27739967.0,739643655.94
10,300723.SZ,20220331,28.015,29.1574,31.6708,26.1274,29.1376,-1.1225999999999985,-3.8528,55933597.0,1628445862.47
11,300723.SZ,20220228,29.1376,27.9156,29.7734,27.4686,27.6077,1.5298999999999978,5.5416,25201742.0,721687789.77
12,300723.SZ,20220128,27.6077,36.1512,37.0056,27.2699,35.6645,-8.056799999999996,-22.5905,49345461.0,1629505598.97
13,300723.SZ,20211231,35.6645,33.8266,36.6579,31.0152,33.4392,2.225299999999997,6.6548,36466352.0,1221213378.37
14,300723.SZ,20211130,33.4392,31.6112,34.6214,30.2502,31.5914,1.8477999999999994,5.8491,36135647.0,1194940585.84
15,300723.SZ,20211029,31.5914,30.7469,33.3796,28.8594,30.2602,1.331199999999999,4.3992,23939460.0,750814716.49
16,300723.SZ,20210930,30.2602,34.5319,35.4757,28.2931,34.4922,-4.231999999999996,-12.2694,28445344.0,921054468.85
17,300723.SZ,20210831,34.4922,36.2804,39.5389,34.0253,35.9426,-1.450400000000002,-4.0353,70911176.0,2586109919.42
18,300723.SZ,20210730,35.9426,33.7869,39.6382,29.2866,33.5286,2.4140000000000015,7.1998,115386080.0,4014047889.06
19,300723.SZ,20210630,33.5286,27.1805,33.6378,24.836,26.8725,6.656099999999999,24.7692,63676583.0,1779831126.6
20,300723.SZ,20210531,26.8725,27.7368,29.5647,25.7499,27.5779,-0.7054000000000009,-2.5578,57502400.0,1602117704.06
21,300723.SZ,20210430,27.5779,47.6255,51.4105,26.6043,48.6785,-21.1006,-43.3469,21569067.0,961036816.67
22,300723.SZ,20210331,27.1389,25.3721,29.9635,24.9401,25.2059,1.9329999999999998,7.6688,30596596.0,1525706773.64
23,300723.SZ,20210226,25.2059,23.5444,28.1967,23.5444,23.705,1.5009000000000015,6.3316,24398704.0,1135455354.2
24,300723.SZ,20210129,23.705,22.2539,26.3026,21.0908,22.2539,1.4510999999999967,6.5207,28787404.0,1230956904.22
25,300723.SZ,20201231,22.2539,23.4447,24.4804,21.4342,23.3173,-1.063399999999998,-4.5606,18112517.0,746669858.08
26,300723.SZ,20201130,23.3173,24.3751,25.9813,22.9296,24.2145,-0.8972000000000016,-3.7052,31634979.0,1417093106.9
27,300723.SZ,20201030,24.2145,23.6884,25.8207,21.6557,23.4557,0.7588000000000008,3.235,25534979.0,1100967434.59
28,300723.SZ,20200930,23.4557,27.1389,27.4103,22.1542,27.1333,-3.677599999999998,-13.5538,26784947.0,1179311801.43
29,300723.SZ,20200831,27.1333,27.4989,36.1445,26.4078,27.4546,-0.3213000000000008,-1.1703,44110941.0,2394041222.33
30,300723.SZ,20200731,27.4546,23.8379,32.3673,22.9296,23.8656,3.5889999999999986,15.0384,72749346.0,3501779154.68
31,300723.SZ,20200630,23.8656,21.2791,24.0816,21.2459,21.2237,2.6418999999999997,12.4479,27470231.0,1129830851.83
32,300723.SZ,20200529,21.119,22.7062,23.8635,20.8765,22.7062,-1.5871999999999993,-6.9902,19162877.0,779452006.52
33,300723.SZ,20200430,22.7062,23.1526,25.7263,21.4937,23.2738,-0.5676000000000023,-2.4388,27614376.0,1203060025.94
34,300723.SZ,20200331,23.2738,22.5298,24.4918,20.667,22.5078,0.7660000000000018,3.4033,21418885.0,883363529.16
35,300723.SZ,20200228,22.5078,20.2151,26.3822,20.2151,22.4141,0.09369999999999834,0.418,41631960.0,1729005770.34
36,300723.SZ,20200123,22.4141,21.163,24.354,20.4797,21.141,1.273100000000003,6.0219,26552799.0,1084803928.9
37,300723.SZ,20191231,21.141,17.476,21.6205,16.5226,17.5312,3.6098,20.5907,37707170.0,1339026216.49
38,300723.SZ,20191129,17.5312,20.7442,21.9952,17.0407,20.9757,-3.4445000000000014,-16.4214,21662956.0,761448089.57
39,300723.SZ,20191031,20.9757,20.8875,22.596,20.2812,21.2182,-0.24249999999999972,-1.1429,14699130.0,569035799.78
40,300723.SZ,20190930,21.2182,20.9205,23.2573,20.182,20.7221,0.49609999999999843,2.3941,29710274.0,1171446279.84
41,300723.SZ,20190830,20.7221,20.0112,22.1551,19.0137,20.2316,0.4905000000000008,2.4244,19849698.0,753873469.28
42,300723.SZ,20190731,20.2316,22.4251,24.2383,19.4987,21.9236,-1.6920000000000002,-7.7177,22645404.0,906229674.22
43,300723.SZ,20190628,21.9236,25.4618,25.6271,20.6836,25.4232,-3.499600000000001,-13.7654,21530608.0,875258611.87
44,300723.SZ,20190531,25.4232,22.111,26.3987,21.2182,24.5249,0.8983000000000025,3.6628,20487172.0,900919047.76
45,300723.SZ,20190430,24.5249,21.1134,27.4458,21.1079,20.7221,3.8027999999999977,18.3514,42721742.0,1926551808.38
46,300723.SZ,20190329,20.6194,18.5026,20.6906,17.3729,18.3161,2.3033,12.5753,37432628.0,1299853688.03
47,300723.SZ,20190228,18.3161,15.3165,18.6232,14.96,15.1135,3.2025999999999986,21.1903,17157669.0,539050482.99
48,300723.SZ,20190131,15.1135,14.6584,16.0568,13.7316,14.6365,0.4770000000000003,3.259,13527921.0,378350769.69
49,300723.SZ,20181228,14.6365,15.8758,16.3639,14.2965,15.3548,-0.7182999999999993,-4.678,9184148.0,254279867.29
50,300723.SZ,20181130,15.3548,15.1629,17.1097,14.96,15.1848,0.16999999999999993,1.1195,19871505.0,574431132.75
51,300723.SZ,20181031,15.1848,16.8958,16.8958,13.3532,17.2029,-2.0181000000000004,-11.7312,14882994.0,401242068.71
52,300723.SZ,20180928,17.2029,17.6855,17.7513,16.2487,17.8226,-0.6197000000000017,-3.477,12188402.0,379636066.75
53,300723.SZ,20180831,17.8226,18.5355,18.8645,16.3968,18.5739,-0.751299999999997,-4.0449,24800054.0,808256278.13
54,300723.SZ,20180731,18.5739,22.5935,23.3832,18.1516,22.791,-4.217100000000002,-18.5034,45552477.0,1739799369.73
55,300723.SZ,20180629,22.791,23.789,25.9881,20.6797,23.959,-1.1679999999999993,-4.875,41092775.0,1774277563.06
56,300723.SZ,20180531,23.959,22.6594,28.2419,22.3194,22.5387,1.420300000000001,6.3016,82268122.0,3727230479.87
57,300723.SZ,20180427,22.4713,22.3619,27.3975,20.3937,22.3948,0.07649999999999935,0.3416,95482935.0,4170889693.67
58,300723.SZ,20180330,22.3948,16.9984,22.936,16.9874,17.2335,5.161300000000001,29.9492,110127203.0,4152098802.29
59,300723.SZ,20180228,17.2335,19.2947,19.8196,15.2597,19.5462,-2.3126999999999995,-11.832,45921659.0,1442591018.22
60,300723.SZ,20180131,19.5462,19.6337,25.1394,18.9065,19.6173,-0.07110000000000127,-0.3624,196509267.0,7866125717.7
61,300723.SZ,20171229,19.6173,20.2952,22.6408,17.6709,20.7764,-1.1590999999999987,-5.5789,152750571.0,5471563518.1
62,300723.SZ,20171130,20.7764,11.1864,23.789,11.1864,9.322,11.4544,122.8749,50639980.0,1908749467.98
0,000756.SZ,20230131,27.46,30.98,31.44,26.91,30.1,-2.6400000000000006,-8.7708,464454410.0,13523201544.04
1,000756.SZ,20221230,30.1,23.28,48.85,20.63,22.75,7.350000000000001,32.3077,1686792841.0,59948284235.38
2,000756.SZ,20221130,22.75,18.07,27.1,17.5,17.91,4.84,27.024,1360804314.0,31445867446.36
3,000756.SZ,20221031,17.91,18.71,21.6,17.1,18.01,-0.10000000000000142,-0.5552,608765930.0,11681138778.55
4,000756.SZ,20220930,18.01,17.58,18.72,16.05,17.56,0.45000000000000284,2.5626,376062487.0,6562000656.49
5,000756.SZ,20220831,17.56,20.98,22.1,17.17,20.98,-3.4200000000000017,-16.3012,419752841.0,8333219781.09
6,000756.SZ,20220729,20.8184,26.3058,29.1636,20.7191,27.3179,-6.499500000000001,-23.7921,874346439.0,22599881672.1
7,000756.SZ,20220630,27.3179,32.2298,33.9762,24.2914,32.9839,-5.665999999999997,-17.1781,1468742444.0,41220783613.43
8,000756.SZ,20220531,32.9839,14.9936,40.3864,14.9936,13.6341,19.3498,141.9221,1533343576.0,44240524134.0
9,000756.SZ,20220429,13.6341,9.5757,13.6341,8.0078,9.7642,3.8698999999999995,39.6336,372428377.0,3611773721.34
10,000756.SZ,20220331,9.7642,9.665,10.7168,8.0773,9.665,0.09920000000000151,1.0264,392933211.0,3775356331.25
11,000756.SZ,20220228,9.665,8.9307,9.9626,8.7719,8.752,0.9129999999999985,10.4319,182147871.0,1716550935.15
